indicator,serial_no,parameter,type,subdistrict_1,subdistrict_2,subdistrict_3,subdistrict_4
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,55698.0,248.0,41772.0,261.0
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,20410.0,105.0,15742.0,110.0
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,1391.0,24.0,634.0,18.0
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,31174.0,96.0,22909.0,116.0
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,20234.0,78.0,14474.0,128.0
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,18588.0,62.0,13661.0,121.0
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,26889.0,74.0,20196.0,102.0
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,430.0,0.0,326.0,0.0
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,33.0,0.0,33.0,0.0
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,16588.0,37.0,8200.0,35.0
M8 [RTI/STI Cases],8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,1384.0,35.0,1103.0,38.0
M8 [RTI/STI Cases],8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,13240.0,154.0,7860.0,156.0
M8 [RTI/STI Cases],8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,14624.0,189.0,8963.0,194.0
M9 [Family Planning],9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,1898.0,18.0,1384.0,33.0
M9 [Family Planning],9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,4048.0,18.0,2505.0,33.0
M9 [Family Planning],9.06,Number of IUCD removals,TOTAL,847.0,3.0,447.0,5.0
M9 [Family Planning],9.07,Number of Oral Pills cycles distributed,TOTAL,13629.0,41.0,11724.0,54.0
M9 [Family Planning],9.08,Number of Condom pieces distributed,TOTAL,358426.0,370.0,292064.0,401.0
M10 [CHILD IMMUNIZATION],10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,13414.0,29.0,10642.0,45.0
M10 [CHILD IMMUNIZATION],10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,797.0,0.0,569.0,10.0
M10 [CHILD IMMUNIZATION],10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,747.0,0.0,536.0,13.0
M10 [CHILD IMMUNIZATION],10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,649.0,14.0,446.0,28.0
M10 [CHILD IMMUNIZATION],10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,28572.0,85.0,22331.0,107.0
M10 [CHILD IMMUNIZATION],10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,28083.0,90.0,22100.0,115.0
M10 [CHILD IMMUNIZATION],10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,26661.0,82.0,20927.0,108.0
M10 [CHILD IMMUNIZATION],10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,7039.0,0.0,5474.0,0.0
