Indicator,S.No.,Parameters,Type,SubDistrict-_North East,SubDistrict-CGHS,SubDistrict-Delhi Govt,SubDistrict-ESI,SubDistrict-MCD,SubDistrict-MCW Centres MCD,SubDistrict-Private
M1 [Ante Natal Care Services ANC],1.1,Total number of pregnant women Registered for ANC,TOTAL,55698,248,41772,261,8885,4044,488
M1 [Ante Natal Care Services ANC],1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,20410,105,15742,110,2743,1391,319
M1 [Ante Natal Care Services ANC],1.2,Number of Pregnant women registered under JSY,TOTAL,1391,24,634,18,715,0,0
M1 [Ante Natal Care Services ANC],1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,31174,96,22909,116,6427,1319,307
M1 [Ante Natal Care Services ANC],1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,20234,78,14474,128,3520,1780,254
M1 [Ante Natal Care Services ANC],1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,18588,62,13661,121,2838,1665,241
M1 [Ante Natal Care Services ANC],1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,26889,74,20196,102,5244,1176,97
M1 [Ante Natal Care Services ANC],1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,430,0,326,0,103,1,NA
M1 [Ante Natal Care Services ANC],1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,33,0,33,0,0,0,NA
M1 [Ante Natal Care Services ANC],1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,16588,37,8200,35,8195,12,109
M1 [Ante Natal Care Services ANC],1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,258,NA,129,NA,112,NA,17
M1 [Ante Natal Care Services ANC],1.8,Number of pregnancy test kits used at SC level,TOTAL,2223,NA,2223,NA,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,0,NA,0,NA,NA,0,NA
M2 [Deliveries],2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,2306,NA,2292,NA,NA,14,NA
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,2306,NA,2292,NA,NA,14,NA
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,903,NA,890,NA,NA,13,NA
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,1,NA,1,NA,NA,0,NA
M2 [Deliveries],2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,5703,NA,4457,NA,1246,0,NA
M2 [Deliveries],2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,3967,NA,3421,NA,546,0,NA
M2 [Deliveries],2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,364,NA,151,NA,213,0,NA
M2 [Deliveries],2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,53,NA,25,NA,28,0,NA
M2 [Deliveries],2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,NA,0,NA,0,0,NA
M2 [Deliveries],2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,211,NA,NA,NA,NA,NA,211
M2 [Deliveries],2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,NA,0,NA,NA,0,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,0,NA,NA,NA,0,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,563,NA,563,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,563,NA,563,NA,0,0,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.2,No. of C-section deliveries performed at Private facilities,TOTAL,141,NA,NA,NA,NA,NA,141
M4 [Pregnancy outcome & weight of new-born],4.1.1.a,Number of male live births,TOTAL,4182,NA,3452,NA,618,7,105
M4 [Pregnancy outcome & weight of new-born],4.1.1.b,Number of female live births,TOTAL,4013,NA,3281,NA,623,7,102
M4 [Pregnancy outcome & weight of new-born],4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,8195,NA,6733,NA,1241,14,207
M4 [Pregnancy outcome & weight of new-born],4.1.2,Number of still births,TOTAL,50,NA,42,NA,6,0,2
M4 [Pregnancy outcome & weight of new-born],4.1.3,Number of Abortions (spontaneous or induced),TOTAL,437,NA,380,NA,11,0,46
M4 [Pregnancy outcome & weight of new-born],4.2.1,Number of Newborns weighed at birth,TOTAL,7099,NA,5641,NA,1241,10,207
M4 [Pregnancy outcome & weight of new-born],4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,1279,NA,1164,NA,97,4,14
M4 [Pregnancy outcome & weight of new-born],4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,6596,NA,5244,NA,1218,13,121
M5 [Complicated pregnanices],5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,0,NA,0,NA,NA,0,NA
M5 [Complicated pregnanices],5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,456,NA,NA,NA,456,NA,NA
M5 [Complicated pregnanices],5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,310,NA,310,NA,NA,NA,NA
M5 [Complicated pregnanices],5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA
M5 [Complicated pregnanices],5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,766,NA,310,NA,456,0,NA
M5 [Complicated pregnanices],5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,134,NA,NA,NA,NA,NA,134
M5 [Complicated pregnanices],5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,456,NA,240,NA,102,0,114
M5 [Complicated pregnanices],5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,248,NA,67,NA,94,0,87
M5 [Complicated pregnanices],5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,559,NA,180,NA,257,0,122
M5 [Complicated pregnanices],5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,77,NA,77,NA,0,NA,0
M6 [Post - Natal Care],6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,7299,NA,5936,NA,1171,13,179
M6 [Post - Natal Care],6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,6725,NA,6309,NA,348,1,67
M6 [Post - Natal Care],6.3,PNC maternal complications attended,TOTAL,1,NA,0,NA,1,0,NA
M7 [Medical Termination of Pregnancy (MTP)],7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,42,NA,34,NA,8,0,NA
M7 [Medical Termination of Pregnancy (MTP)],7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,0,NA,0,NA,0,0,NA
M7 [Medical Termination of Pregnancy (MTP)],7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,42,NA,34,NA,8,0,NA
